face_uuid,match_file,match_score,model,distance_metric,number_of_hits
36c15bce-f8c3-46e0-baee-cba74ff5bd89,5efa5b53-ada6-486e-8b66-4c6330a71ea7.png,0.7725037338228834,Facenet512,euclidean_l2,30
501a723e-b731-446a-b79c-6ef093c87204,9c3a43b8-03a7-453c-a980-1c4523abd5f3.png,0.5564336780113853,Facenet512,euclidean_l2,40
70b95a76-1842-464e-8c7b-c49feff25686,f7a956bb-513b-4ae7-9fb0-2adc7ab25076.png,0.891575224022927,Facenet512,euclidean_l2,10
7f3586e2-9a99-4208-92e6-cc16b82e12b4,c0c7aedd-97dc-4394-8336-f812c19fc1a2.png,0.791738878932367,Facenet512,euclidean_l2,38
70eecef3-e830-4a70-a2a7-7bd25b383d41,cc6b3530-cd71-4500-a5fe-d868c449b8d1.png,0.7511806113253661,Facenet512,euclidean_l2,40
09319a79-dbec-4c90-9ad0-16080dca911a,cc6b3530-cd71-4500-a5fe-d868c449b8d1.png,0.640497545662035,Facenet512,euclidean_l2,40
911c2356-b8c2-4e47-9df3-6f94680c7012,c0c7aedd-97dc-4394-8336-f812c19fc1a2.png,0.7395975796924937,Facenet512,euclidean_l2,38
f92ced52-05d2-4fa8-a9e4-e88a966a7f83,5efa5b53-ada6-486e-8b66-4c6330a71ea7.png,0.5745149565683636,Facenet512,euclidean_l2,40
675ecd0c-68d6-4eea-88f9-d761519ec3b6,laschet_armin.jpeg,0.4770899233385908,Facenet512,euclidean_l2,38
737f0936-ee3d-42dd-a46d-1c8f70f2956c,laschet_armin.jpeg,0.6223432947636685,Facenet512,euclidean_l2,40
cf153917-023d-49c7-840e-9bfd6604780d,f891fb5e-737c-4bf0-9c55-824f2cdff348.png,0.46779335702292363,Facenet512,euclidean_l2,38
3898699d-2db4-4630-b21c-c96df66d1083,5efa5b53-ada6-486e-8b66-4c6330a71ea7.png,0.8877759764198153,Facenet512,euclidean_l2,6
1b5d1190-62e9-4210-9120-be97d666f5ca,f891fb5e-737c-4bf0-9c55-824f2cdff348.png,0.7813970888324694,Facenet512,euclidean_l2,24
362faa1c-ed62-4c80-b2a0-1e4d58715059,cc6b3530-cd71-4500-a5fe-d868c449b8d1.png,0.6556399885040541,Facenet512,euclidean_l2,40
ab331282-f81b-4126-8b3c-04c09fcde902,6eea9eca-17f8-4cce-b3dd-7cf5cb345415.png,0.9202367499963345,Facenet512,euclidean_l2,6
e178a328-0a69-44d0-a175-c0cec93746b2,1bd44b42-05b1-4e5e-9ecf-b19872c3a776.png,0.5086577681330684,Facenet512,euclidean_l2,40
cd46351c-a418-4f43-b04b-602756020bdd,5efa5b53-ada6-486e-8b66-4c6330a71ea7.png,0.6516958833475437,Facenet512,euclidean_l2,40
894f6531-dbd7-4287-a046-2da118c6a28d,d0e6d963-6d02-463b-a226-ce3f34b0fcc5.png,0.5677523986867129,Facenet512,euclidean_l2,40
8b7a154c-0c08-4ad3-88b2-bb7af9c77ceb,c0c7aedd-97dc-4394-8336-f812c19fc1a2.png,0.47292927071254365,Facenet512,euclidean_l2,38
59f2ab5b-c756-4844-addd-3023416d31f6,b95e4651-bf56-4f12-8d9c-4defe1aef9b0.png,0.5420376111994764,Facenet512,euclidean_l2,40
eabe84c6-00c9-4dc9-af82-7e34c373d48b,d0e6d963-6d02-463b-a226-ce3f34b0fcc5.png,0.6808850505234997,Facenet512,euclidean_l2,40
8dbab2c4-3b7b-42da-a302-5d19e3730221,laschet_armin.jpeg,0.7053836671841666,Facenet512,euclidean_l2,40
977706a4-932f-4265-81af-68afaa9655a5,f7a956bb-513b-4ae7-9fb0-2adc7ab25076.png,0.814324138943703,Facenet512,euclidean_l2,16
82685574-d50f-4e89-b535-b26cf0e1db64,laschet_armin.jpeg,0.7373451910579636,Facenet512,euclidean_l2,40
585934f3-99c7-4c8e-9751-f8cad5c60de5,b95e4651-bf56-4f12-8d9c-4defe1aef9b0.png,0.5170177720632606,Facenet512,euclidean_l2,40
57802663-d042-4830-9d7b-87204904a04d,9c3a43b8-03a7-453c-a980-1c4523abd5f3.png,0.9135215433680327,Facenet512,euclidean_l2,18
2b23e1ed-281d-4222-8212-b5dd5978df48,cc6b3530-cd71-4500-a5fe-d868c449b8d1.png,0.7383201486512232,Facenet512,euclidean_l2,34
c91b8c74-c781-40f3-b55a-97186c256b40,c0c7aedd-97dc-4394-8336-f812c19fc1a2.png,0.6176979964902616,Facenet512,euclidean_l2,38
87e410d1-5caa-4c6f-8fc8-3a9453fd6146,1f347af9-a36f-4727-923b-4c1a1e934ab9.png,1.0317106589307345,Facenet512,euclidean_l2,2
8f2bac54-b12f-475d-afdb-1008fc4fbefc,872af970-553e-4d30-abdc-252f937b8d70.png,0.9946049722539791,Facenet512,euclidean_l2,2
75197f5f-979f-4d3d-8764-4a61b5e8536a,5efa5b53-ada6-486e-8b66-4c6330a71ea7.png,0.6953465808141016,Facenet512,euclidean_l2,40
8062532b-dcf2-4f39-b358-540233be9dbd,544c4dd7-ae0f-4d1e-825f-3d9e1eca7fd3.png,0.6570030675562665,Facenet512,euclidean_l2,40
1d0f28a1-8e5c-4f1b-b311-110373a7c165,c0c7aedd-97dc-4394-8336-f812c19fc1a2.png,0.5507119316562412,Facenet512,euclidean_l2,38
c15b6960-098f-4df6-9406-5cb0c9247304,5efa5b53-ada6-486e-8b66-4c6330a71ea7.png,1.035085340741422,Facenet512,euclidean_l2,2
1f183799-d077-4766-83e9-e0e7ecceef65,cc6b3530-cd71-4500-a5fe-d868c449b8d1.png,0.5965286808917563,Facenet512,euclidean_l2,40
02bf3538-ee12-4903-9a70-8042f5fa041d,6b5fba44-8fb8-4e07-98e3-960e82e765a9.png,0.9353422868870015,Facenet512,euclidean_l2,2
387e92ed-51fe-4b4a-a37e-ae4a07dc9dcf,laschet_armin.jpeg,0.490768684562683,Facenet512,euclidean_l2,38
dbe8a755-d300-48bc-ab74-6ff3778733b1,c9b28a08-82fc-4524-9287-70b4dbc96c5b.png,0.9535002920885255,Facenet512,euclidean_l2,12
4966862a-220b-4677-8dff-47d20e149f39,c0c7aedd-97dc-4394-8336-f812c19fc1a2.png,0.6065753892126362,Facenet512,euclidean_l2,36
39337df2-a969-4724-b035-78053a25a955,cc6b3530-cd71-4500-a5fe-d868c449b8d1.png,0.9105797710961561,Facenet512,euclidean_l2,10
f46e1343-7fe6-4eba-a05a-fdaccb00cf68,f7a956bb-513b-4ae7-9fb0-2adc7ab25076.png,0.8141138043727648,Facenet512,euclidean_l2,20
9989cf70-85d3-48da-8919-d9f0a26cc3f3,f891fb5e-737c-4bf0-9c55-824f2cdff348.png,0.9873341863780883,Facenet512,euclidean_l2,2
77e58591-48dc-4151-8ed3-967386212f83,laschet_armin.jpeg,0.6009421895506408,Facenet512,euclidean_l2,38
659814ba-6945-4a8f-baa6-dc2708ae07fa,cc6b3530-cd71-4500-a5fe-d868c449b8d1.png,0.9570552848076139,Facenet512,euclidean_l2,8
f747143f-8e2e-4edd-8f4a-340801e23dcf,80b6f539-47d0-408e-8a0b-aadcffe513a5.png,0.39328542016117046,Facenet512,euclidean_l2,40
c44d3253-f70f-46c8-9019-b407a97ccb63,d0e6d963-6d02-463b-a226-ce3f34b0fcc5.png,0.7836528172648809,Facenet512,euclidean_l2,40
e619fe8d-c7c3-44cc-91e8-40084cdf7266,9c3a43b8-03a7-453c-a980-1c4523abd5f3.png,0.6941917177152717,Facenet512,euclidean_l2,40
62f0634b-4c46-432d-995c-a2cdd3e66d9c,5efa5b53-ada6-486e-8b66-4c6330a71ea7.png,0.6719314044028744,Facenet512,euclidean_l2,40
d81e6c55-8ce7-49c2-bc2e-7faf67927343,5efa5b53-ada6-486e-8b66-4c6330a71ea7.png,0.7112835257369737,Facenet512,euclidean_l2,40
edc1ad1d-a75e-44cc-95ca-b9699fafcc6d,5efa5b53-ada6-486e-8b66-4c6330a71ea7.png,0.6393787060453165,Facenet512,euclidean_l2,34
7adae84d-5c00-41ec-8812-0557bcadb665,1bd44b42-05b1-4e5e-9ecf-b19872c3a776.png,0.7653965781528688,Facenet512,euclidean_l2,18
