image,type,bucket_url,face_uuid,retina_face_score,facial_area,right_eye,left_eye,nose,mouth_right,mouth_left,image_width,image_height,f_pixel_x,f_pixel_y,f_pixel_width,f_pixel_height,f_relativ_x,f_relativ_y,f_relativ_width,f_relativ_height
images/armin_laschet/2021-09-12_20-45-47_UTC.jpg,Post,armin_laschet/2021-09-12_20-45-47_UTC.jpg,54df6d89-84e5-4731-9850-e23c703733f9,0.999373495578766,"[173, 141, 403, 447]","[219.3212, 284.73676]","[316.4043, 259.79327]","[269.9141, 335.34784]","[254.6136, 384.3264]","[335.76733, 362.69305]",607,1080,173,141,230,306,28.500823723228997,13.055555555555555,37.89126853377265,28.333333333333332
images/armin_laschet/2021-09-17_12-59-07_UTC_3.jpg,Post,armin_laschet/2021-09-17_12-59-07_UTC_3.jpg,bb101227-1416-4fc3-864b-4695cc7e0c70,0.9995861649513244,"[440, 150, 537, 270]","[468.09543, 194.60751]","[515.4546, 195.23465]","[492.7969, 220.39842]","[467.9656, 235.50099]","[513.84906, 236.12485]",1440,942,440,150,97,120,30.555555555555557,15.92356687898089,6.736111111111111,12.738853503184714
images/armin_laschet/2021-09-17_12-59-07_UTC_3.jpg,Post,armin_laschet/2021-09-17_12-59-07_UTC_3.jpg,9ac13a82-29a2-4675-95ef-4a53ed72b357,0.9995558857917786,"[209, 155, 305, 281]","[228.22412, 204.49608]","[273.30533, 205.01477]","[246.37218, 231.8036]","[231.34023, 243.69377]","[277.20337, 243.79198]",1440,942,209,155,96,126,14.51388888888889,16.454352441613587,6.666666666666667,13.375796178343949
images/armin_laschet/2021-09-17_12-59-07_UTC_3.jpg,Post,armin_laschet/2021-09-17_12-59-07_UTC_3.jpg,c6bf703f-3831-4ee0-8fe6-cc5c645bbbf5,0.9995324611663818,"[956, 183, 1054, 300]","[976.55853, 228.24994]","[1019.59735, 229.20259]","[992.9415, 252.85083]","[979.2213, 266.48834]","[1019.51715, 267.16995]",1440,942,956,183,98,117,66.38888888888889,19.426751592356688,6.805555555555555,12.420382165605096
images/armin_laschet/2021-09-17_12-59-07_UTC_3.jpg,Post,armin_laschet/2021-09-17_12-59-07_UTC_3.jpg,5d758045-d889-473b-8842-ffdb8d9f5b03,0.999516487121582,"[1197, 201, 1286, 311]","[1209.3595, 240.47682]","[1248.2327, 243.09268]","[1218.9954, 262.26825]","[1210.8428, 277.43457]","[1248.5092, 279.19235]",1440,942,1197,201,89,110,83.125,21.337579617834397,6.180555555555555,11.67728237791932
images/armin_laschet/2021-09-17_12-59-07_UTC_3.jpg,Post,armin_laschet/2021-09-17_12-59-07_UTC_3.jpg,93215f27-0971-49f2-80a7-fc0da0d96cde,0.999372899532318,"[869, 124, 948, 229]","[882.4238, 168.8635]","[917.53644, 165.96945]","[896.0761, 186.798]","[887.9879, 202.79288]","[919.73303, 199.79225]",1440,942,869,124,79,105,60.34722222222222,13.163481953290871,5.486111111111111,11.146496815286625
images/armin_laschet/2021-09-17_12-59-07_UTC_3.jpg,Post,armin_laschet/2021-09-17_12-59-07_UTC_3.jpg,a6118aec-42e5-4aaa-a0bf-c6a1053fb182,0.9991931319236756,"[686, 193, 780, 324]","[705.23126, 245.04376]","[747.19, 248.4881]","[719.11536, 270.75717]","[705.15295, 285.79446]","[746.5211, 288.39963]",1440,942,686,193,94,131,47.638888888888886,20.488322717622083,6.527777777777779,13.906581740976645
images/armin_laschet/2021-09-17_12-59-07_UTC_3.jpg,Post,armin_laschet/2021-09-17_12-59-07_UTC_3.jpg,8c589de3-9d84-4566-9a70-cacde1f55f4b,0.9991723299026488,"[588, 171, 667, 272]","[617.11505, 212.49542]","[651.0504, 219.77687]","[632.77045, 239.73256]","[612.48895, 247.84111]","[638.88367, 253.65387]",1440,942,588,171,79,101,40.833333333333336,18.152866242038215,5.486111111111111,10.721868365180468
images/armin_laschet/2021-09-17_12-59-07_UTC_3.jpg,Post,armin_laschet/2021-09-17_12-59-07_UTC_3.jpg,b7101680-c286-41a7-9c8c-907600a286ea,0.9990032315254213,"[0, 181, 53, 267]","[4.763297, 210.86018]","[37.776917, 214.69974]","[20.524187, 229.43068]","[3.286935, 241.83366]","[31.956665, 245.02031]",1440,942,0,181,53,86,0.0,19.21443736730361,3.680555555555556,9.129511677282377
images/armin_laschet/2021-09-17_12-59-07_UTC_3.jpg,Post,armin_laschet/2021-09-17_12-59-07_UTC_3.jpg,e51a0894-dfa6-4147-90ad-e960c8ee7fee,0.9989230036735536,"[988, 497, 1133, 708]","[1030.8723, 582.23114]","[1096.539, 595.3788]","[1058.4171, 632.48584]","[1023.10724, 650.97565]","[1081.1877, 662.7089]",1440,942,988,497,145,211,68.61111111111111,52.76008492569002,10.069444444444445,22.39915074309979
images/armin_laschet/2021-09-17_12-59-07_UTC_3.jpg,Post,armin_laschet/2021-09-17_12-59-07_UTC_3.jpg,d3d0d639-9465-47d1-95cd-6aaa7d55df38,0.9986348748207092,"[1133, 97, 1213, 192]","[1146.5873, 134.5131]","[1184.2345, 130.7636]","[1162.223, 147.02974]","[1151.2612, 165.7767]","[1185.9944, 162.47195]",1440,942,1133,97,80,95,78.68055555555556,10.29723991507431,5.555555555555555,10.084925690021231
images/armin_laschet/2021-09-17_12-59-07_UTC_3.jpg,Post,armin_laschet/2021-09-17_12-59-07_UTC_3.jpg,ec1f2268-6991-4111-b75b-e429ef4471e9,0.99850732088089,"[133, 176, 201, 264]","[146.35901, 212.73749]","[178.7892, 211.94801]","[160.40987, 228.01483]","[149.14511, 241.05298]","[178.43275, 240.38062]",1440,942,133,176,68,88,9.23611111111111,18.683651804670912,4.722222222222222,9.341825902335456
images/armin_laschet/2021-09-17_12-59-07_UTC_3.jpg,Post,armin_laschet/2021-09-17_12-59-07_UTC_3.jpg,2aa41f8f-3641-4798-a2af-74bf591f425b,0.9981447458267212,"[1373, 244, 1438, 365]","[1388.0511, 287.40558]","[1425.6136, 297.133]","[1396.075, 314.3724]","[1384.3103, 326.9893]","[1420.4835, 334.82672]",1440,942,1373,244,65,121,95.34722222222224,25.902335456475583,4.513888888888888,12.845010615711251
images/armin_laschet/2021-09-17_12-59-07_UTC_3.jpg,Post,armin_laschet/2021-09-17_12-59-07_UTC_3.jpg,1966ba64-cf12-4546-8fee-e8f9d5297408,0.9978839755058287,"[380, 167, 453, 273]","[398.0084, 210.90082]","[433.64188, 210.71716]","[414.69046, 229.99634]","[400.6246, 246.35048]","[431.70673, 245.97395]",1440,942,380,167,73,106,26.38888888888889,17.72823779193206,5.069444444444445,11.252653927813164
images/armin_laschet/2021-09-17_12-59-07_UTC_3.jpg,Post,armin_laschet/2021-09-17_12-59-07_UTC_3.jpg,d08251fa-74c2-4c9c-af74-495c1300645b,0.99772447347641,"[731, 126, 801, 209]","[745.3408, 157.0293]","[778.2389, 158.85051]","[758.3451, 173.75732]","[748.3619, 189.79408]","[772.6184, 191.13043]",1440,942,731,126,70,83,50.763888888888886,13.375796178343949,4.861111111111112,8.81104033970276
images/armin_laschet/2021-09-17_12-59-07_UTC_3.jpg,Post,armin_laschet/2021-09-17_12-59-07_UTC_3.jpg,c415578a-82b6-4467-8b67-f1d70ec62de0,0.99760240316391,"[407, 159, 488, 268]","[429.8114, 204.02774]","[468.1998, 203.39824]","[448.92035, 223.40459]","[430.8723, 239.89655]","[465.19928, 239.16864]",1440,942,407,159,81,109,28.26388888888889,16.878980891719745,5.625,11.571125265392782
images/armin_laschet/2021-09-17_12-59-07_UTC_3.jpg,Post,armin_laschet/2021-09-17_12-59-07_UTC_3.jpg,c3befd08-8f39-42af-b921-2b8141ad1b6d,0.98992657661438,"[0, 572, 87, 756]","[-8.570793, 643.00867]","[60.42784, 641.4752]","[31.518215, 690.5235]","[-11.617572, 701.6428]","[58.414867, 700.8494]",1440,942,0,572,87,184,0.0,60.72186836518046,6.041666666666667,19.53290870488323
images/armin_laschet/2021-09-17_12-59-07_UTC_2.jpg,Post,armin_laschet/2021-09-17_12-59-07_UTC_2.jpg,71491959-63ea-4dfd-b698-a48fdbee8232,0.9995278120040894,"[413, 220, 582, 456]","[465.5263, 309.78778]","[546.09454, 312.62485]","[507.9276, 356.37732]","[464.72208, 390.8621]","[537.26196, 393.7058]",1440,945,413,220,169,236,28.680555555555554,23.28042328042328,11.73611111111111,24.97354497354497
images/armin_laschet/2021-09-17_12-59-07_UTC_2.jpg,Post,armin_laschet/2021-09-17_12-59-07_UTC_2.jpg,8d6dbbc2-1f74-458b-ba65-977780cf58b7,0.9994433522224426,"[723, 307, 922, 555]","[750.56805, 405.27017]","[831.6029, 386.03452]","[775.2995, 439.4509]","[767.4217, 488.5299]","[837.1295, 472.72385]",1440,945,723,307,199,248,50.208333333333336,32.48677248677249,13.819444444444445,26.24338624338624
images/armin_laschet/2021-09-17_12-59-07_UTC_2.jpg,Post,armin_laschet/2021-09-17_12-59-07_UTC_2.jpg,b28991de-0bfe-494c-b6dc-6ec05043bf2e,0.9994335770606996,"[1280, 249, 1438, 506]","[1326.6298, 372.5724]","[1413.5455, 358.44305]","[1374.7362, 419.93674]","[1354.9323, 461.05862]","[1417.3296, 449.50677]",1440,945,1280,249,158,257,88.88888888888889,26.34920634920635,10.97222222222222,27.195767195767196
images/armin_laschet/2021-09-17_12-59-07_UTC_2.jpg,Post,armin_laschet/2021-09-17_12-59-07_UTC_2.jpg,f17eb3d8-fb70-4e91-a6de-e8174dc1599c,0.9993625283241272,"[860, 203, 968, 330]","[883.4837, 257.55542]","[933.2064, 256.32874]","[905.4386, 275.6282]","[890.21466, 300.95206]","[927.5705, 299.60025]",1440,945,860,203,108,127,59.72222222222222,21.48148148148148,7.5,13.43915343915344
images/armin_laschet/2021-09-17_12-59-07_UTC_2.jpg,Post,armin_laschet/2021-09-17_12-59-07_UTC_2.jpg,ec2ffd65-8ced-4b72-a317-526e6b66348b,0.9991662502288818,"[645, 274, 758, 422]","[678.9726, 335.77472]","[733.16956, 336.3088]","[707.8969, 365.90356]","[682.67163, 387.72684]","[727.7486, 387.78217]",1440,945,645,274,113,148,44.79166666666667,28.994708994708994,7.847222222222222,15.66137566137566
images/armin_laschet/2021-09-17_12-59-07_UTC_2.jpg,Post,armin_laschet/2021-09-17_12-59-07_UTC_2.jpg,d189f405-1b7d-4f0c-8978-7df7c96be78e,0.9979173541069032,"[220, 318, 348, 482]","[253.44574, 387.46887]","[312.7, 382.8179]","[285.78082, 418.71524]","[267.19766, 450.032]","[310.10416, 446.05038]",1440,945,220,318,128,164,15.27777777777778,33.65079365079365,8.88888888888889,17.354497354497354
images/armin_laschet/2021-09-17_12-59-07_UTC_2.jpg,Post,armin_laschet/2021-09-17_12-59-07_UTC_2.jpg,e890214f-63e8-4ad3-9576-f679c0df1900,0.9965496063232422,"[702, 443, 841, 619]","[726.0395, 515.07855]","[790.24744, 498.19452]","[755.1836, 529.668]","[742.4487, 576.00635]","[799.0736, 561.68005]",1440,945,702,443,139,176,48.75,46.87830687830688,9.65277777777778,18.624338624338623
images/armin_laschet/2021-09-17_12-59-07_UTC_2.jpg,Post,armin_laschet/2021-09-17_12-59-07_UTC_2.jpg,612f3f58-b8c7-4d72-810b-2d82ab4a537d,0.9892985820770264,"[322, 307, 415, 433]","[346.3855, 363.47284]","[389.22116, 354.9749]","[373.4905, 379.0664]","[360.14557, 403.19855]","[397.1508, 396.44772]",1440,945,322,307,93,126,22.36111111111111,32.48677248677249,6.458333333333334,13.333333333333334
images/armin_laschet/2021-09-16_15-01-25_UTC.jpg,Post,armin_laschet/2021-09-16_15-01-25_UTC.jpg,d8fb1bea-b189-4cd0-b158-e63fc41643b7,0.9992524981498718,"[111, 124, 411, 548]","[199.53857, 298.50577]","[342.0757, 291.7423]","[281.67087, 378.723]","[211.6297, 440.98584]","[336.99744, 435.37662]",1080,1080,111,124,300,424,10.277777777777777,11.48148148148148,27.77777777777778,39.25925925925926
images/armin_laschet/2021-09-19_20-18-11_UTC.jpg,Post,armin_laschet/2021-09-19_20-18-11_UTC.jpg,72201a79-b4fc-4208-aeb2-e008c741490f,0.9993059635162354,"[283, 507, 435, 722]","[348.50443, 603.18494]","[412.63113, 588.129]","[405.23746, 632.1524]","[368.82336, 677.19574]","[418.8625, 664.9721]",1080,1921,283,507,152,215,26.203703703703702,26.392503904216554,14.074074074074074,11.192087454450808
